id_group,time_bin,sum
1064032,2014-01-01 00:00:00,1023
10640462,2013-01-01 00:00:00,27
10640462,2014-01-01 00:00:00,69
10645702,2013-01-01 00:00:00,11
10645702,2014-01-01 00:00:00,33
10646212,2013-01-01 00:00:00,2
10646592,2013-01-01 00:00:00,148
10646592,2014-01-01 00:00:00,280
10646602,2013-01-01 00:00:00,3
10646602,2014-01-01 00:00:00,3
10646912,2013-01-01 00:00:00,48
10646912,2014-01-01 00:00:00,99
10648822,2013-01-01 00:00:00,64
10648822,2014-01-01 00:00:00,23
10649152,2013-01-01 00:00:00,1
10649312,2013-01-01 00:00:00,2
10649672,2013-01-01 00:00:00,8
10649672,2014-01-01 00:00:00,23
1065134,2008-01-01 00:00:00,59
1065134,2009-01-01 00:00:00,60
1065134,2010-01-01 00:00:00,77
1065134,2011-01-01 00:00:00,100
1065134,2012-01-01 00:00:00,117
1065134,2013-01-01 00:00:00,106
1065134,2014-01-01 00:00:00,62
10652512,2013-01-01 00:00:00,35
10652512,2014-01-01 00:00:00,61
10659702,2013-01-01 00:00:00,10
10659702,2014-01-01 00:00:00,6
1066277,2008-01-01 00:00:00,131
1066277,2009-01-01 00:00:00,32
1066277,2010-01-01 00:00:00,10
1066277,2011-01-01 00:00:00,31
1066277,2012-01-01 00:00:00,69
1066277,2013-01-01 00:00:00,3
1066277,2014-01-01 00:00:00,43
10662872,2014-01-01 00:00:00,1
10664712,2013-01-01 00:00:00,20
10664712,2014-01-01 00:00:00,61
10665492,2013-01-01 00:00:00,23
10665492,2014-01-01 00:00:00,22
10674852,2013-01-01 00:00:00,10
10675982,2013-01-01 00:00:00,6
10675982,2014-01-01 00:00:00,8
10678512,2013-01-01 00:00:00,5
1068114,2008-01-01 00:00:00,19
1068114,2009-01-01 00:00:00,34
1068114,2010-01-01 00:00:00,31
1068114,2011-01-01 00:00:00,57
1068114,2012-01-01 00:00:00,89
1068114,2013-01-01 00:00:00,121
1068114,2014-01-01 00:00:00,81
1068143,2008-01-01 00:00:00,60
1068143,2009-01-01 00:00:00,579
